0.022749916	3.70E-07	43.95620697
0.027596217	2.53E-07	36.2368509
0.032414626	1.29E-07	30.8502709
0.038485038	7.99E-08	25.98412422
0.045692278	4.58E-08	21.88553591
0.054834406	2.80E-08	18.2367253
0.066515507	1.68E-08	15.03408827
0.082434978	1.06E-08	12.13077292
0.104380413	7.02E-09	9.580341453
0.130757638	4.98E-09	7.647736818
0.170982965	3.86E-09	5.848535841
0.216501211	3.39E-09	4.618911814
0.2741371	3.05E-09	3.647809799
0.347116533	2.98E-09	2.880876896
0.439524192	2.97E-09	2.275187618
0.556532165	2.85E-09	1.796841339
0.704689425	2.72E-09	1.419064859
0.892288384	2.86E-09	1.120713905
1.129829017	2.97E-09	0.885089677
1.430606552	2.95E-09	0.699004208
1.811455604	2.94E-09	0.552042235
2.293692421	3.10E-09	0.435978247
2.904307957	3.23E-09	0.344316104
3.677478562	3.69E-09	0.271925446
4.65647885	3.42E-09	0.214754546
5.896103789	3.73E-09	0.169603527
7.465735592	4.17E-09	0.133945274
9.453227068	4.70E-09	0.105783982
11.9441621	4.83E-09	0.083722909
14.9055174	5.37E-09	0.067089251
19.19121827	5.55E-09	0.052107166
24.30021018	5.73E-09	0.041151907
30.76929283	7.45E-09	0.032499934
38.9605429	8.14E-09	0.025666993
49.33242735	8.82E-09	0.020270643
62.46546396	9.26E-09	0.016008846
79.0947131	9.27E-09	0.01264307
93.90708362	1.08E-08	0.010648824
